트렌드ID,트렌드명,플랫폼,카테고리,포맷,사운드,대표 해시태그,7일 성장률,누적 조회수,단계,제작 난이도,예상 지속기간,수집일,주 시청층
TR-021,셔플댄스 초급 강좌,틱톡,댄스,스토리텔링,밈 사운드,#셔플댄스초급강좌,25%,120만,성장중,중,2개월+,2026-07-13,전연령
TR-022,사투리 더빙 챌린지,릴스,코미디,챌린지,잔잔한 피아노,#사투리더빙챌린지,320%,"2,500만",정점,중,1개월,2026-07-17,전연령
TR-023,혼밥 맛집 리뷰,쇼츠,푸드,챌린지,K-pop 리믹스,#혼밥맛집리뷰,85%,50만,급상승,중,1주,2026-07-18,20대
TR-024,러닝 크루 브이로그,틱톡,운동,트랜지션,오리지널 사운드,#러닝크루브이로그,140%,120만,급상승,하,1주,2026-07-10,20-30대
TR-025,전세사기 예방 꿀팁,릴스,지식/정보,챌린지,로파이 BGM,#전세사기예방꿀팁,18%,"1,200만",하락 시작,하,2주,2026-07-17,20대
TR-026,공항 패션 코디,쇼츠,패션,리스트업,K-pop 리믹스,#공항패션코디,85%,"4,000만",급상승,하,2개월+,2026-07-15,30대
TR-027,아이돌 안무 커버,틱톡,댄스,트랜지션,잔잔한 피아노,#아이돌안무커버,72%,800만,급상승,하,2개월+,2026-07-15,10대
TR-028,직장인 밈 시리즈,릴스,코미디,챌린지,밈 사운드,#직장인밈시리즈,34%,120만,하락 시작,하,2개월+,2026-07-12,20-30대
TR-029,캠핑 장비 언박싱,쇼츠,여행,POV,바이럴 효과음,#캠핑장비언박싱,85%,120만,급상승,하,1주,2026-07-11,20대
TR-030,붓기 빼는 마사지,틱톡,뷰티,스토리텔링,바이럴 효과음,#붓기빼는마사지,25%,800만,성장중,중,1주,2026-07-12,30대
TR-031,책상 셋업 투어,릴스,브이로그,겟레디윗미,레트로 시티팝,#책상셋업투어,12%,800만,하락 시작,중,2개월+,2026-07-18,30대
TR-032,영어 한 문장 챌린지,쇼츠,지식/정보,겟레디윗미,K-pop 리믹스,#영어한문장챌린지,25%,120만,급상승,상,1주,2026-07-15,10대
TR-033,숏폼 드라마 1화,틱톡,코미디,스토리텔링,밈 사운드,#숏폼드라마1화,12%,"1,200만",성장중,하,1주,2026-07-12,10대
TR-034,헬스장 민폐 유형,릴스,코미디,챌린지,바이럴 효과음,#헬스장민폐유형,140%,50만,급상승,상,2주,2026-07-10,전연령
TR-035,비건 베이킹 클래스,쇼츠,푸드,리액션,밈 사운드,#비건베이킹클래스,18%,800만,정점,중,2주,2026-07-15,20대
TR-036,반려견 훈련 전후,틱톡,반려동물,튜토리얼,잔잔한 피아노,#반려견훈련전후,47%,800만,정점,중,1개월,2026-07-11,10대
TR-037,기차 여행 브이로그,릴스,여행,리액션,오리지널 사운드,#기차여행브이로그,85%,"1,200만",급상승,상,2주,2026-07-18,20-30대
TR-038,면접 필승 답변,쇼츠,지식/정보,POV,K-pop 리믹스,#면접필승답변,25%,300만,정점,중,2주,2026-07-17,전연령
TR-039,데일리 백 속 소지품,틱톡,패션,리액션,레트로 시티팝,#데일리백속소지품,320%,300만,급상승,상,1개월,2026-07-11,20대
TR-040,스트레칭 10초 루틴,릴스,운동,POV,잔잔한 피아노,#스트레칭10초루틴,47%,50만,성장중,중,1개월,2026-07-13,20-30대
