거래ID,거래일,구분,품목,거래처,국가,통화,외화 금액,원화 환산,관세/부가세,배송 상태,통관 상태,정산 상태,메모
TX-013,2026-05-17,수입,한정판 스니커즈 사입,Etsy 구매자,미국,USD,760,"1,056,400","84,512",통관 대기,면세 통과,정산 완료,인보이스 첨부
TX-014,2026-07-28,수출,아트 프린트,도쿄 빈티지몰,프랑스,EUR,520,"785,200",-,통관 대기,관세 납부 대기,부분 정산,HS코드 확인 필요
TX-015,2026-07-10,수입,무선 핀마이크,심천 전자상가 B,중국,CNY,760,"148,200",-,배송중,면세 통과,부분 정산,HS코드 확인 필요
TX-016,2026-05-20,수출,폰케이스,아마존 FBA,일본,JPY,"24,000","220,799",-,발송 완료,통관 완료,정산 대기,인보이스 첨부
TX-017,2026-07-20,수입,빈티지 의류 사입,쇼피파이 자사몰,일본,JPY,"7,600","69,920",-,발송 완료,면세 통과,정산 대기,
TX-018,2026-07-06,수출,아트 프린트,도쿄 빈티지몰,프랑스,EUR,760,"1,147,600",-,통관 대기,관세 납부 대기,정산 완료,
TX-019,2026-05-26,수입,한정판 스니커즈 사입,Etsy 구매자,미국,USD,520,"722,800","57,824",배송중,통관 완료,정산 완료,
TX-020,2026-05-15,수출,의류 굿즈 후드,타오바오 셀러 C,미국,USD,"1,200","1,668,000",-,반품 처리중,통관 진행중,부분 정산,HS코드 확인 필요
TX-021,2026-05-05,수입,포장 부자재,알리바바 셀러 A,중국,CNY,760,"148,200",-,입고 완료,면세 통과,정산 완료,
TX-022,2026-06-02,수출,폰케이스,Etsy 구매자,일본,JPY,"12,000","110,399",-,입고 완료,면세 통과,정산 완료,HS코드 확인 필요
TX-023,2026-07-20,수입,한정판 스니커즈 사입,쇼피파이 자사몰,미국,USD,"1,200","1,668,000","133,440",발송 완료,면세 통과,부분 정산,HS코드 확인 필요
TX-024,2026-06-15,수출,포토카드 세트,아마존 FBA,미국,USD,"2,400","3,336,000",-,배송중,관세 납부 대기,부분 정산,HS코드 확인 필요
TX-025,2026-06-15,수입,한정판 스니커즈 사입,도쿄 빈티지몰,미국,USD,350,"486,500","38,920",통관 대기,통관 진행중,정산 대기,인보이스 첨부
TX-026,2026-05-05,수출,스티커 팩,심천 전자상가 B,대만,TWD,"1,200","51,600",-,배송중,면세 통과,부분 정산,
TX-027,2026-05-14,수입,한정판 스니커즈 사입,타오바오 셀러 C,미국,USD,350,"486,500","38,920",통관 대기,면세 통과,정산 대기,
TX-028,2026-06-13,수출,포토카드 세트,알리바바 셀러 A,미국,USD,"4,800","6,672,000",-,반품 처리중,면세 통과,정산 대기,
TX-029,2026-06-28,수입,무선 핀마이크,타오바오 셀러 C,중국,CNY,520,"101,400",-,반품 처리중,통관 진행중,정산 대기,
TX-030,2026-06-01,수출,스티커 팩,타오바오 셀러 C,대만,TWD,760,"32,680",-,통관 대기,면세 통과,부분 정산,
TX-031,2026-07-18,수입,포장 부자재,알리바바 셀러 A,중국,CNY,350,"68,250",-,발송 완료,통관 완료,정산 완료,HS코드 확인 필요
TX-032,2026-06-06,수출,포토카드 세트,알리바바 셀러 A,미국,USD,"4,800","6,672,000",-,통관 대기,면세 통과,정산 대기,
TX-033,2026-06-25,수입,포장 부자재,타오바오 셀러 C,중국,CNY,520,"101,400",-,통관 대기,면세 통과,정산 대기,
TX-034,2026-07-18,수출,의류 굿즈 후드,알리바바 셀러 A,미국,USD,180,"250,200",-,통관 대기,통관 진행중,부분 정산,
TX-035,2026-05-08,수입,한정판 스니커즈 사입,Etsy 구매자,미국,USD,180,"250,200","20,016",입고 완료,통관 진행중,정산 완료,
TX-036,2026-05-19,수출,의류 굿즈 후드,Etsy 구매자,미국,USD,"2,400","3,336,000",-,발송 완료,관세 납부 대기,정산 대기,
TX-037,2026-07-23,수입,카메라 짐벌,도쿄 빈티지몰,미국,USD,"1,200","1,668,000","133,440",배송중,관세 납부 대기,정산 완료,재입고 예정
TX-038,2026-07-22,수출,굿즈 키링,타오바오 셀러 C,일본,JPY,"5,200","47,839",-,발송 완료,통관 진행중,정산 완료,재입고 예정
TX-039,2026-07-08,수입,한정판 스니커즈 사입,도쿄 빈티지몰,미국,USD,"4,800","6,672,000","533,760",통관 대기,통관 완료,부분 정산,
TX-040,2026-06-22,수출,스티커 팩,쇼피파이 자사몰,대만,TWD,"1,200","51,600",-,입고 완료,관세 납부 대기,정산 완료,HS코드 확인 필요
